date,price,price_index
2021-12-23,98.71019230769231,73.75
2021-12-24,117.5,87.79
2021-12-25,55.28090909090909,41.3
2021-12-26,125.06660714285714,93.44
2021-12-27,88.0895744680851,65.82
2021-12-28,89.51347826086956,66.88
2021-12-29,66.80777777777777,49.92
2021-12-30,83.65244897959184,62.5
2021-12-31,91.88181818181818,68.65
2022-01-01,98.08829268292682,73.29
2022-01-02,125.30590163934426,93.62
2022-01-03,122.08886363636363,91.22
2022-01-04,87.41220338983051,65.31
2022-01-05,124.15196078431373,92.76
2022-01-06,98.82660377358489,73.84
2022-01-07,116.83760869565216,87.3
2022-01-08,99.88615384615385,74.63
2022-01-09,101.7168,76.0
2022-01-10,115.96952380952379,86.65
2022-01-11,103.60260869565218,77.41
2022-01-12,114.09225352112676,85.24
2022-01-13,158.5778125,118.48
2022-01-14,123.04377358490565,91.93
2022-01-15,125.84899999999999,94.03
2022-01-16,147.95735849056604,110.55
2022-01-17,140.0050909090909,104.61
2022-01-18,102.92804347826088,76.9
2022-01-19,99.4665306122449,74.32
2022-01-20,127.21153846153847,95.05
2022-01-21,82.62816666666666,61.74
2022-01-22,109.75324324324325,82.0
2022-01-23,87.10762711864407,65.08
2022-01-24,146.1807843137255,109.22
2022-01-25,107.52418181818182,80.34
2022-01-26,86.54943396226415,64.67
2022-01-27,66.5746551724138,49.74
2022-01-28,123.3368,92.15
2022-01-29,147.02945454545454,109.85
2022-01-30,147.18156862745099,109.97
2022-01-31,78.54608695652173,58.69
2022-02-01,152.51170731707316,113.95
2022-02-02,236.79204081632653,176.92
2022-02-03,91.50116666666666,68.37
2022-02-04,133.71179104477613,99.9
2022-02-05,105.51061224489797,78.83
2022-02-06,125.41898305084746,93.71
2022-02-07,213.0306976744186,159.17
2022-02-08,126.61114285714287,94.6
2022-02-09,127.11944444444444,94.98
2022-02-10,86.69849056603775,64.78
2022-02-11,106.71936170212767,79.74
2022-02-12,78.57851851851852,58.71
2022-02-13,116.74035714285715,87.22
2022-02-14,110.84318181818183,82.82
2022-02-15,197.956,147.9
2022-02-16,115.14463768115941,86.03
2022-02-17,96.60019607843137,72.18
2022-02-18,154.3490909090909,115.32
2022-02-19,254.67180327868851,190.28
2022-02-20,117.75380952380952,87.98
2022-02-21,188.3761904761905,140.75
2022-02-22,101.5725806451613,75.89
2022-02-23,79.56051724137932,59.44
2022-02-24,96.5528125,72.14
2022-02-25,127.345,95.15
2022-02-26,102.97081081081082,76.94
2022-02-27,112.1225,83.77
2022-02-28,268.49033333333335,200.6
2022-03-01,126.34492063492064,94.4
2022-03-02,116.90029411764706,87.34
2022-03-03,66.11999999999999,49.4
2022-03-04,117.97250000000001,88.14
2022-03-05,95.82639999999999,71.6
2022-03-06,88.45382978723404,66.09
2022-03-07,174.16309523809525,130.13
2022-03-08,109.07000000000001,81.49
2022-03-09,100.77857142857144,75.3
2022-03-10,95.00742857142856,70.99
2022-03-11,121.93,91.1
2022-03-12,84.18579710144927,62.9
2022-03-13,86.08946428571429,64.32
2022-03-14,53.566875,40.02
2022-03-15,173.77918032786886,129.84
2022-03-16,187.04129032258064,139.75
2022-03-17,69.40267605633802,51.85
2022-03-18,108.36181818181818,80.96
2022-03-19,71.7838028169014,53.63
2022-03-20,120.00352941176472,89.66
2022-03-21,85.3983606557377,63.81
2022-03-22,120.98363636363636,90.39
2022-03-23,59.74407407407407,44.64
2022-03-24,75.71470588235294,56.57
2022-03-25,116.46632352941177,87.02
2022-03-26,96.57745098039216,72.16
2022-03-27,126.92614285714285,94.83
2022-03-28,110.478202247191,82.54
2022-03-29,146.64521126760562,109.57
2022-03-30,88.8840625,66.41
2022-03-31,51.548,38.51
2022-04-01,85.75175,64.07
2022-04-02,141.30616438356165,105.58
2022-04-03,140.30407407407407,104.83
2022-04-04,73.3678125,54.82
2022-04-05,94.57144927536233,70.66
2022-04-06,89.79535211267606,67.09
2022-04-07,117.50040540540542,87.79
2022-04-08,77.817375,58.14
2022-04-09,179.05102941176472,133.78
2022-04-10,137.76393939393938,102.93
2022-04-11,99.11999999999999,74.06
2022-04-12,64.37228571428572,48.1
2022-04-13,128.4010810810811,95.94
2022-04-14,163.4939705882353,122.16
2022-04-15,132.62473684210525,99.09
2022-04-16,108.77120689655172,81.27
2022-04-17,88.70929577464788,66.28
2022-04-18,125.47682926829269,93.75
2022-04-19,105.90526315789474,79.13
2022-04-20,98.80135802469135,73.82
2022-04-21,119.78483870967742,89.5
2022-04-22,129.57511363636365,96.81
2022-04-23,108.01543209876543,80.7
2022-04-24,94.45948717948718,70.58
2022-04-25,82.93394366197182,61.96
2022-04-26,100.59835820895523,75.16
2022-04-27,86.41636363636364,64.57
2022-04-28,83.58527777777778,62.45
2022-04-29,74.99138888888889,56.03
2022-04-30,92.34441860465117,69.0
2022-05-01,120.56855263157894,90.08
2022-05-02,121.08414285714285,90.47
2022-05-03,182.34773333333334,136.24
2022-05-04,116.71940476190477,87.21
2022-05-05,108.47395061728395,81.05
2022-05-06,78.26115942028986,58.47
2022-05-07,96.311375,71.96
2022-05-08,151.7209090909091,113.36
2022-05-09,117.03599999999999,87.44
2022-05-10,138.08492307692308,103.17
2022-05-11,137.90116279069767,103.03
2022-05-12,134.73108108108107,100.67
2022-05-13,257.27555555555557,192.23
2022-05-14,94.88985915492958,70.9
2022-05-15,82.34450000000001,61.52
2022-05-16,100.52942028985507,75.11
2022-05-17,140.09964285714287,104.68
2022-05-18,68.80979865771812,51.41
2022-05-19,523.99,391.5
2022-05-20,161.21886075949368,120.46
2022-05-21,100.24156626506023,74.9
2022-05-22,83.06240000000001,62.06
2022-05-23,95.64529761904762,71.46
2022-05-24,89.45343749999999,66.84
2022-05-25,151.09348387096776,112.89
2022-05-26,114.29042857142856,85.39
2022-05-27,90.04700636942674,67.28
2022-05-28,102.46084507042254,76.55
2022-05-29,89.78753012048192,67.09
2022-05-30,45.25727272727273,33.81
2022-05-31,183.07649122807018,136.79
2022-06-01,79.86065789473685,59.67
2022-06-02,97.37526315789474,72.75
2022-06-03,113.54958083832335,84.84
2022-06-04,106.28301587301587,79.41
2022-06-05,99.5330303030303,74.37
2022-06-06,87.00746268656717,65.01
2022-06-07,98.37482517482518,73.5
2022-06-08,210.41192307692307,157.21
2022-06-09,124.39281249999999,92.94
2022-06-10,103.40763157894737,77.26
2022-06-11,138.46724999999998,103.46
2022-06-12,153.17285714285714,114.44
2022-06-13,107.50069182389937,80.32
2022-06-14,110.95863636363637,82.9
2022-06-15,109.61172619047619,81.9
2022-06-16,204.73176470588237,152.97
2022-06-17,104.3964,78.0
2022-06-18,174.03136363636364,130.03
2022-06-19,121.33937888198757,90.66
2022-06-20,84.62629629629629,63.23
2022-06-21,98.9936551724138,73.96
2022-06-22,102.269375,76.41
2022-06-23,136.20746835443038,101.77
2022-06-24,203.29753846153847,151.9
2022-06-25,96.3817094017094,72.01
2022-06-26,122.22866666666667,91.32
2022-06-27,88.7494642857143,66.31
2022-06-28,154.428,115.38
2022-06-29,105.67041666666665,78.95
2022-06-30,142.69523809523812,106.62
2022-07-01,79.87684210526317,59.68
2022-07-02,105.186,78.59
2022-07-03,61.41931034482758,45.89
2022-07-04,92.56262295081967,69.16
2022-07-05,129.63753246753248,96.86
2022-07-06,111.92229729729729,83.62
2022-07-07,61.56963636363636,46.0
2022-07-08,91.6516129032258,68.48
2022-07-09,144.35211267605635,107.85
2022-07-10,70.75245901639343,52.86
2022-07-11,77.36489361702128,57.8
2022-07-12,76.55446153846154,57.2
2022-07-13,94.41657718120805,70.54
2022-07-14,74.99177419354838,56.03
2022-07-15,91.89250000000001,68.66
2022-07-16,79.54172413793104,59.43
2022-07-17,78.56145695364239,58.7
2022-07-18,156.2427868852459,116.74
2022-07-19,76.2672932330827,56.98
2022-07-20,109.13209677419356,81.54
2022-07-21,82.80585034013606,61.87
2022-07-22,129.05338983050848,96.42
2022-07-23,70.19094594594594,52.44
2022-07-24,154.88107692307693,115.72
2022-07-25,116.52578571428572,87.06
2022-07-26,256.8481034482759,191.91
2022-07-27,90.88890109890109,67.91
2022-07-28,173.53,129.65
2022-07-29,97.70175324675324,73.0
2022-07-30,112.9245945945946,84.37
2022-07-31,82.87551948051949,61.92
2022-08-01,102.2665,76.41
2022-08-02,90.49208,67.61
2022-08-03,139.8840909090909,104.52
2022-08-04,62.383453237410066,46.61
2022-08-05,125.70966666666666,93.92
2022-08-06,63.345479452054796,47.33
2022-08-07,85.616625,63.97
2022-08-08,75.04113333333333,56.07
2022-08-09,164.66779069767443,123.03
2022-08-10,75.93821656050955,56.74
2022-08-11,86.22757575757576,64.43
2022-08-12,82.3263829787234,61.51
2022-08-13,104.32715789473684,77.95
2022-08-14,76.60722222222222,57.24
2022-08-15,87.03009523809524,65.03
2022-08-16,60.502030075187974,45.2
2022-08-17,125.92625,94.09
2022-08-18,136.72522727272727,102.16
2022-08-19,106.44774509803922,79.53
2022-08-20,103.8844776119403,77.62
2022-08-21,169.7141935483871,126.8
2022-08-22,98.60195652173913,73.67
2022-08-23,120.66323809523809,90.15
2022-08-24,82.43837209302325,61.59
2022-08-25,93.73105882352941,70.03
2022-08-26,129.09672413793103,96.46
2022-08-27,79.16534883720931,59.15
2022-08-28,103.98673913043478,77.69
2022-08-29,137.19462686567167,102.51
2022-08-30,60.48858208955224,45.19
2022-08-31,66.86354838709678,49.96
2022-09-01,97.61567567567567,72.93
2022-09-02,143.50063829787234,107.22
2022-09-03,106.29387096774194,79.42
2022-09-04,115.21178571428571,86.08
2022-09-05,112.8772794117647,84.34
2022-09-06,102.47435643564356,76.56
2022-09-07,76.9381,57.48
2022-09-08,144.41588235294117,107.9
2022-09-09,89.93853846153846,67.2
2022-09-10,119.6089423076923,89.37
2022-09-11,86.68354838709678,64.77
2022-09-12,84.2941111111111,62.98
2022-09-13,51.599670329670325,38.55
2022-09-14,79.9221568627451,59.71
2022-09-15,121.97231481481482,91.13
2022-09-16,130.286125,97.34
2022-09-17,152.23556603773585,113.74
2022-09-18,84.40919540229885,63.07
2022-09-19,71.6,53.5
2022-09-21,125.33531914893618,93.65
2022-09-22,115.2147619047619,86.08
2022-09-23,118.53653846153847,88.57
2022-09-25,133.51611111111112,99.76
2022-09-26,137.84494845360825,102.99
2022-09-27,119.04819148936171,88.95
2022-09-28,106.78139534883722,79.78
2022-09-29,111.66571428571429,83.43
2022-10-14,121.71175000000001,90.94
2022-10-15,103.03454545454547,76.98
2022-10-16,83.15428571428572,62.13
2022-10-17,87.2040594059406,65.16
2022-10-18,56.43784810126582,42.17
2022-10-19,83.90514285714285,62.69
2022-10-20,99.83536363636362,74.59
2022-10-21,99.6742372881356,74.47
2022-10-22,168.26055555555556,125.72
2022-10-23,105.23837837837837,78.63
2022-10-24,78.52527472527473,58.67
2022-10-25,255.1825806451613,190.66
2022-10-26,113.80781818181819,85.03
2022-10-27,66.913625,49.99
2022-10-28,152.81682926829268,114.18
2022-10-29,72.48345238095237,54.16
2022-10-30,64.26444444444445,48.02
2022-10-31,78.83157894736841,58.9
2022-11-10,106.05707317073171,79.24
2022-11-11,116.62066666666666,87.13
2022-11-12,148.29051020408164,110.8
2022-11-13,144.5665,108.01
2022-11-14,126.0221505376344,94.16
2022-11-15,57.486555555555555,42.95
2022-11-16,74.53014084507042,55.69
2022-11-17,83.92305882352942,62.7
2022-11-18,74.4609900990099,55.63
2022-11-19,106.12411764705882,79.29
2022-11-20,102.65232323232323,76.7
2022-11-21,70.44470588235293,52.63
2022-11-22,87.59220588235294,65.45
2022-11-23,66.36170731707317,49.58
2022-11-24,54.034946236559136,40.37
2022-11-25,64.08325581395349,47.88
2022-11-26,59.53116279069768,44.48
2022-11-27,69.04905660377358,51.59
2022-11-28,84.18135135135135,62.9
2022-11-29,83.7815,62.6
2022-11-30,60.77409090909091,45.41
2022-12-01,52.21975609756098,39.02
2022-12-02,81.65096153846154,61.01
2022-12-03,46.9987012987013,35.12
2022-12-04,130.87868421052633,97.79
2022-12-05,113.81127906976745,85.03
2022-12-06,86.68641025641026,64.77
2022-12-07,83.24102564102564,62.19
2022-12-08,68.01041666666667,50.81
2022-12-09,68.6465,51.29
2022-12-10,89.85846153846154,67.14
2022-12-11,82.48469879518073,61.63
2022-12-12,50.4195945945946,37.67
2022-12-13,58.46925,43.69
2022-12-14,90.94216494845361,67.95
